,time,/vicon/pose/header.frame_id,/vicon/pose/header.stamp.nanosec,/vicon/pose/header.stamp.sec,/vicon/pose/roll,/vicon/pose/pitch,/vicon/pose/yaw,/vicon/pose/pose.position.x,/vicon/pose/pose.position.y,/vicon/pose/pose.position.z,/cf_logerr/roll,/cf_logerr/pitch,/cf_logerr/yaw,/cf_logerr/position.x,/cf_logerr/position.y,/cf_logerr/position.z,/cf_logpos/roll,/cf_logpos/pitch,/cf_logpos/yaw,/cf_logpos/position.x,/cf_logpos/position.y,/cf_logpos/position.z,/cf_controll/roll,/cf_controll/pitch,/cf_controll/yaw,/cf_controll/position.x,/cf_controll/position.y,/cf_controll/position.z,/cf_command/x,/cf_command/y,/cf_command/z
91,1747749232427715667,vicon/world,420276042.0,1747749232.0,-0.8967827950207677,-1.4668128544996397,1.6264964339633436,0.025410128078974466,1.3699365132186025,0.040554439768140105,,,,,,,,,,,,,,,,,,,,,
92,1747749232437795058,vicon/world,430537201.0,1747749232.0,-0.8455489555936918,-1.4248521675406927,1.5202865753678771,0.025388310525650878,1.3698594612141308,0.04048775782094873,,,,,,,,,,,,,,,,,,,,,
93,1747749232447854587,vicon/world,440648138.0,1747749232.0,-0.8669929508706956,-1.396359613759875,1.5351794602525926,0.02535805831760306,1.3698764469865694,0.040515849403516456,,,,,,,,,,,,,,,,,,,,,
94,1747749232457545402,vicon/world,450412242.0,1747749232.0,-0.8368170221659721,-1.285665167966459,1.4399736687352527,0.025347200791204588,1.3698358343977222,0.040484411949044216,,,,,,,,,,,,,,,,,,,,,
95,1747749232467835134,vicon/world,460516891.0,1747749232.0,-0.7085212034597933,-1.4232278073258942,1.431792800453369,0.025427192972234922,1.3698990889603275,0.040375674554620794,,,,,,,,,,,,,,,,,,,,,
96,1747749232477934341,vicon/world,470241920.0,1747749232.0,-0.82241097754189,-1.1891154222769924,1.3423752598254741,0.025426181533611498,1.3698890888725332,0.040446863147794124,,,,,,,,,,,,,,,,,,,,,
97,1747749232483828362,,,,,,,,,,,,,,,,-0.748179495334625,1.2855427265167167,1.4389368295669556,0.0050158388912677765,1.3802939653396606,0.02161756344139576,,,,,,,,,
98,1747749232487355200,vicon/world,480242330.0,1747749232.0,-0.6465857623310859,-1.4949144033012796,1.4866322650293424,0.025437578518231127,1.3698984248455197,0.04038263888780271,,,,,,,,,,,,,,,,,,,,,
99,1747749232497797508,vicon/world,490333625.0,1747749232.0,-0.6843273124225255,-1.43398029096218,1.496263508485847,0.02531359380995961,1.3698168504637487,0.0403933060015009,,,,,,,,,,,,,,,,,,,,,
100,1747749232507512719,vicon/world,500184062.0,1747749232.0,-0.8637307299284057,-1.2257189319477766,1.4466156908006722,0.0254427477620103,1.3699149454583504,0.04043462052741298,,,,,,,,,,,,,,,,,,,,,
101,1747749232510210899,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
102,1747749232517296011,vicon/world,510182908.0,1747749232.0,-0.8642677782463549,-1.3496910071006183,1.4795496536861235,0.025454216023633562,1.369975225931727,0.04050138475166331,,,,,,,,,,,,,,,,,,,,,
103,1747749232525837866,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
104,1747749232527870644,vicon/world,520215521.0,1747749232.0,-0.8775223038769259,-1.2933048644084868,1.491973915593233,0.0254719542452114,1.3699413498288386,0.040477591734631134,,,,,,,,,,,,,,,,,,,,,
105,1747749232537779086,vicon/world,530544429.0,1747749232.0,-0.8755274436225616,-1.2517320350725258,1.4878445577264348,0.02532931484400275,1.3698485123669732,0.04046083773965042,,,,,,,,,,,,,,,,,,,,,
106,1747749232547284203,vicon/world,540195612.0,1747749232.0,-0.8558762147815044,-1.2584639760196412,1.3998984165493555,0.025465193918625145,1.3699224078219472,0.04049791295458907,,,,,,,,,,,,,,,,,,,,,
107,1747749232556414236,vicon/world,550088750.0,1747749232.0,-0.8430903554426001,-1.2357808963061911,1.3920566163623913,0.025341709601554973,1.3697735756392726,0.04048264119183211,,,,,,,,,,,,,,,,,,,,,
108,1747749232566371093,vicon/world,560178297.0,1747749232.0,-0.8921685876698464,-1.2760407490792895,1.4496492397533278,0.025455905656003294,1.3699214186002568,0.04043749277045652,,,,,,,,,,,,,,,,,,,,,
109,1747749232576926038,vicon/world,570360493.0,1747749232.0,-0.8455504223291761,-1.3050103436020997,1.519594786478764,0.02536652124806838,1.3698774671810456,0.04056011158526547,,,,,,,,,,,,,,,,,,,,,
110,1747749232587199333,vicon/world,580679579.0,1747749232.0,-0.8098753236270985,-1.266791603598307,1.4166951209615777,0.025491649004830075,1.36992551767129,0.04050764472072666,,,,,,,,,,,,,,,,,,,,,
111,1747749232588452620,,,,,,,,,,,,,,,,-0.7558608651161193,1.2871750593185496,1.438153386116028,0.0011634544935077429,1.382257342338562,0.019403768703341484,,,,,,,,,
112,1747749232596892412,vicon/world,590160017.0,1747749232.0,-0.8426427636078668,-1.2519865189047246,1.472306401227199,0.025376055060832008,1.369848298313545,0.04052261858174257,,,,,,,,,,,,,,,,,,,,,
113,1747749232606941459,vicon/world,600099990.0,1747749232.0,-0.6374719454491862,-1.4029575680314073,1.4145594027491772,0.02528908086858015,1.3697855614941106,0.04036328460652599,,,,,,,,,,,,,,,,,,,,,
114,1747749232616406732,vicon/world,610119511.0,1747749232.0,-0.845050627893229,-1.2532899092153464,1.3841571721383152,0.02545025383088285,1.3699305002036253,0.04049550162861492,,,,,,,,,,,,,,,,,,,,,
115,1747749232626832261,vicon/world,620158532.0,1747749232.0,-0.8725658515740186,-1.2769368545032334,1.428973101280548,0.025316962263325044,1.3698176636564614,0.04052165821371313,,,,,,,,,,,,,,,,,,,,,
116,1747749232636753538,vicon/world,630204137.0,1747749232.0,-0.8413783833822203,-1.1658311997928217,1.3895036082398229,0.02532866239592703,1.36983045542789,0.04044520100296162,,,,,,,,,,,,,,,,,,,,,
117,1747749232647085472,vicon/world,640507549.0,1747749232.0,-0.7480477242263104,-1.3844294280726837,1.3862759503237831,0.025420351304756516,1.369964284131202,0.040447748162756016,,,,,,,,,,,,,,,,,,,,,
118,1747749232657666165,vicon/world,650771749.0,1747749232.0,-0.8836490069592168,-1.4398675094800093,1.6133727769780968,0.025390365800920855,1.3699187034024163,0.04052972488114548,,,,,,,,,,,,,,,,,,,,,
119,1747749232660873151,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
120,1747749232666092239,vicon/world,660310682.0,1747749232.0,-0.8474179005871735,-1.2965689591131084,1.448584778741694,0.025471867717557932,1.3699395894537274,0.0404824123347065,,,,,,,,,,,,,,,,,,,,,
121,1747749232676343518,vicon/world,670473551.0,1747749232.0,-0.8371247943874691,-1.1992092051658818,1.4031521381441001,0.025437642572311042,1.3699165779788252,0.04042457703201523,,,,,,,,,,,,,,,,,,,,,
122,1747749232686335228,vicon/world,680388071.0,1747749232.0,-0.6900178835299953,-1.448453711753777,1.4327452482947978,0.025408064908480462,1.3698733783394896,0.040367574735588024,,,,,,,,,,,,,,,,,,,,,
123,1747749232696000894,vicon/world,690111599.0,1747749232.0,-0.9074231449420269,-1.307643587875904,1.4783480228939054,0.025473561484959786,1.3699658117892528,0.04050422773261396,,,,,,,,,,,,,,,,,,,,,
124,1747749232706104458,vicon/world,700415463.0,1747749232.0,-0.8280159822913873,-1.3034755928856798,1.5031552742762984,0.025352122973885085,1.3698644120779215,0.04047698655136785,,,,,,,,,,,,,,,,,,,,,
125,1747749232716475349,vicon/world,710212913.0,1747749232.0,-0.8543243089419091,-1.2400216464654796,1.3784680462576726,0.025425307145591148,1.3699217938152388,0.04046046378973748,,,,,,,,,,,,,,,,,,,,,
